ts_code,trade_date,MACD,KDJ,total_current_assets,total_none_current_assets,total_assets,total_current_liabilities,total_none_current_liabilities,total_liabilities,basic_eps,diluted_eps,total_revenue,total_cogs,operate_profit,none_operate_income,none_operate_exp,total_profit,net_income,cash_sale_goods_service,cash_in_subtotal_operate,cash_paid_goods_service,cash_paid_employees,cash_out_subtotal_operate,cash_in_subtotal_invest,cash_out_subtotal_invest,cash_net_invest,cash_in_subtotal_finance,cash_out_subtotal_finance,cash_net_finance,target
000002.SZ,20180921,-2.0432744315972413,1.4616454387674207,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,-0.06643953488372104
000002.SZ,20180928,-2.0432744315972413,1.2329490168927124,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,-0.024880658436213857
000002.SZ,20181012,-2.0432744315972413,0.24821300657226741,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,0.000290832118605611
000002.SZ,20181019,-2.0432744315972413,-1.2385289071147345,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,0.09205992510993696
000002.SZ,20181026,-2.0432744315972413,-0.7410963860036012,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,-0.002680674699009393
000002.SZ,20181102,-2.0432744315972413,0.8167630963561094,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,-0.006160612030304824
000002.SZ,20181109,-2.0432744315972413,1.4333732105079628,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,0.023729287457697947
000002.SZ,20181116,-2.0432744315972413,1.318638896106011,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,0.039942626381313275
000002.SZ,20181123,-2.0432744315972413,0.8858183409559441,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,0.012386741358007745
000002.SZ,20181130,-2.0432744315972413,1.3487960470966045,1.769862290954687,1.9433052494383558,2.1132397740364226,1.638994536778747,1.5677693303959435,1.9900987531130643,2.0034761339798233,2.0034761339798233,1.6146498931266198,1.6239869059511083,1.967402983724206,1.4013304639637647,2.0761904023317013,2.004021376598147,1.725539456649081,1.81602097563741,1.7249788404737358,1.3232691725138899,1.667584020161649,1.5561956217416129,1.547660209813636,1.2814417932927233,-1.263543430362407,1.2491894959807435,1.53360621425805,1.5876189706586334,-0.006730817631723427
